Tag,Tag Type,Doc Count,Expected-Loss-Per-Word (Wiki),Expected-Loss-Per-Word (Full)
ADJ,pos,51190,0.0794503691453098,0.16578520057382998
ADP,pos,72341,-0.14806158714925077,-0.05201864042956533
ADV,pos,52048,0.05145123891375416,0.0249551251110238
AUX,pos,61662,-0.1872368108904298,-0.16010169503399535
CCONJ,pos,35300,-0.1819187309983922,-0.07115320652303218
DET,pos,64755,-0.22612789084673504,-0.06321788985466802
INTJ,pos,5911,0.3003157836257503,-0.07788278345591594
NOUN,pos,84814,0.1204518749527503,0.18249220493600263
NUM,pos,8505,-0.07560249009990395,0.09988144861967979
PART,pos,47988,-0.21186072783527723,-0.18100243077239278
PRON,pos,83751,-0.06392659052425417,-0.14317626540053774
PROPN,pos,42092,0.3042829491617674,0.37069953360394853
PUNCT,pos,88292,-0.08958397467396004,-0.15535253004525623
SCONJ,pos,26702,-0.11746036076747535,-0.08690935618600579
SYM,pos,173,-0.06197547552682085,0.25776380379038005
VERB,pos,86407,0.11960541804125104,0.04354485391307127
X,pos,201,0.25463020123212365,0.4575812149869847
noun.act,sst,12318,0.0638380676395436,0.22633091867841976
noun.animal,sst,3044,0.14202108440122807,0.3669431254368278
noun.artifact,sst,29212,0.11141858985103517,0.1487450709850448
noun.attribute,sst,6561,0.11001108274753461,0.18781737169116738
noun.body,sst,17202,0.25856472245985807,-0.014731288013597443
noun.cognition,sst,9385,0.05675242856236183,0.18957464880904132
noun.communication,sst,15093,0.18212862043140313,0.15350897319121642
noun.event,sst,4845,0.07279326266907103,0.14870162234146378
noun.feeling,sst,4041,0.2894049381753038,0.1681549177343927
noun.food,sst,2894,0.3096157130017947,0.28812512592473494
noun.group,sst,8778,-0.15697739034101882,0.27417448938380967
noun.location,sst,10823,0.004591603344868656,0.22725487296311897
noun.motive,sst,303,-0.1332114806366126,0.10704609071801331
noun.object,sst,3555,-0.06228387148315388,0.17772687224044237
noun.person,sst,48422,0.27834226014867486,0.3114693691217533
noun.phenomenon,sst,1836,0.09146415216785365,0.15673158247961164
noun.plant,sst,1301,0.191203284591729,0.2998050496249288
noun.possession,sst,1559,0.06765010481613937,0.40448412045817306
noun.process,sst,299,0.21088223343975873,0.3168327010214743
noun.quantity,sst,3190,-0.012197472972355898,0.0779921920396275
noun.relation,sst,928,0.022122232022508778,0.12295886815212857
noun.shape,sst,454,0.004545169936806924,0.13839841792028773
noun.state,sst,7400,0.1397604688556374,0.18016965258664347
noun.substance,sst,3737,0.16140273331255583,0.2831333267368791
noun.time,sst,10791,-0.03699343394471547,-0.0028405833499573095
noun.Tops,sst,859,0.18841183695555355,0.22711334708370437
verb.body,sst,7115,0.40491270039596167,-0.044919101651667716
verb.change,sst,13913,-0.00982092935330261,0.03910752145523818
verb.cognition,sst,17642,-0.023802542380772652,0.005050510939608343
verb.communication,sst,27193,0.15704272698373728,0.012637668350610235
verb.competition,sst,2055,-0.11631334746196381,0.05310747539543687
